[2025-02-07 00:20:53] Worker ID: Some(1), Checkpoint ID: Some(1), Method: Fingerprint, Status: Successful
[2025-02-07 00:20:53] Worker ID: Some(1), Checkpoint ID: Some(1), Method: RFID, Status: Successful


[2025-02-07 00:20:53] Worker ID: Some(1), Checkpoint ID: Some(1), Method: Fingerprint, Status: Failed

[2025-02-07 00:20:53] Worker ID: Some(2), Checkpoint ID: Some(1), Method: RFID, Status: Failed

[2025-02-07 00:20:53] Worker ID: Some(999), Checkpoint ID: Some(1), Method: Fingerprint, Status: Failed

[2025-02-07 00:20:53] Worker ID: Some(999), Checkpoint ID: Some(1), Method: RFID, Status: Failed

[2025-02-07 00:23:01] Worker ID: Some(1), Checkpoint ID: Some(1), Method: Fingerprint, Status: Successful
[2025-02-07 00:23:01] Worker ID: Some(1), Checkpoint ID: Some(1), Method: RFID, Status: Successful


[2025-02-07 00:23:01] Worker ID: Some(1), Checkpoint ID: Some(1), Method: Fingerprint, Status: Failed

[2025-02-07 00:23:01] Worker ID: Some(2), Checkpoint ID: Some(1), Method: RFID, Status: Failed

[2025-02-07 00:23:01] Worker ID: Some(999), Checkpoint ID: Some(1), Method: RFID, Status: Failed
[2025-02-07 00:23:01] Worker ID: Some(999), Checkpoint ID: Some(1), Method: Fingerprint, Status: Failed


[2025-02-07 00:23:18] Worker ID: Some(1), Checkpoint ID: Some(1), Method: Fingerprint, Status: Successful

[2025-02-07 00:23:18] Worker ID: Some(1), Checkpoint ID: Some(1), Method: Fingerprint, Status: Failed

[2025-02-07 00:23:18] Worker ID: Some(1), Checkpoint ID: Some(1), Method: RFID, Status: Successful

[2025-02-07 00:23:18] Worker ID: Some(2), Checkpoint ID: Some(1), Method: RFID, Status: Failed

[2025-02-07 00:23:18] Worker ID: Some(999), Checkpoint ID: Some(1), Method: Fingerprint, Status: Failed

[2025-02-07 00:23:18] Worker ID: Some(999), Checkpoint ID: Some(1), Method: RFID, Status: Failed

[2025-02-23 04:36:16] Worker ID: Some(1), Checkpoint ID: Some(1010), Method: RFID, Status: Successful

[2025-02-23 04:36:21] Worker ID: Some(1), Checkpoint ID: Some(1010), Method: Fingerprint, Status: Failed

[2025-02-23 04:36:38] Worker ID: Some(1), Checkpoint ID: Some(1010), Method: RFID, Status: Successful

[2025-02-23 15:24:25] Worker ID: Some(1), Checkpoint ID: Some(1013), Method: RFID, Status: Failed

[2025-02-23 15:24:42] Worker ID: Some(1), Checkpoint ID: Some(1013), Method: RFID, Status: Failed

[2025-02-23 15:24:59] Worker ID: Some(1), Checkpoint ID: Some(1013), Method: RFID, Status: Failed

[2025-02-23 15:25:17] Worker ID: Some(1), Checkpoint ID: Some(1013), Method: RFID, Status: Failed

[2025-02-23 15:50:21] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-02-23 15:50:38] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-02-23 15:50:55] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-02-23 15:51:13] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-02-23 17:55:43] Worker ID: Some(1), Checkpoint ID: Some(1), Method: Fingerprint, Status: Successful
[2025-02-23 17:55:43] Worker ID: Some(1), Checkpoint ID: Some(1), Method: RFID, Status: Successful


[2025-02-23 17:55:43] Worker ID: Some(2), Checkpoint ID: Some(1), Method: RFID, Status: Failed
[2025-02-23 17:55:43] Worker ID: Some(1), Checkpoint ID: Some(1), Method: Fingerprint, Status: Failed


[2025-02-23 17:55:43] Worker ID: Some(999), Checkpoint ID: Some(1), Method: Fingerprint, Status: Failed
[2025-02-23 17:55:43] Worker ID: Some(999), Checkpoint ID: Some(1), Method: RFID, Status: Failed


[2025-02-23 18:01:59] Worker ID: Some(1), Checkpoint ID: Some(1005), Method: RFID, Status: Successful

[2025-02-23 18:02:05] Worker ID: Some(1), Checkpoint ID: Some(1005), Method: Fingerprint, Status: Successful

[2025-03-05 22:53:43] Worker ID: Some(1), Checkpoint ID: Some(1017), Method: RFID, Status: Failed

[2025-03-05 22:54:04] Worker ID: Some(1), Checkpoint ID: Some(1017), Method: RFID, Status: Failed

[2025-03-05 23:00:15] Worker ID: Some(1), Checkpoint ID: Some(1001), Method: RFID, Status: Failed

[2025-03-05 23:00:43] Worker ID: Some(1), Checkpoint ID: Some(1001), Method: RFID, Status: Failed

[2025-03-05 23:05:08] Worker ID: Some(1), Checkpoint ID: Some(1002), Method: RFID, Status: Failed

[2025-03-05 23:05:50] Worker ID: Some(1), Checkpoint ID: Some(1002), Method: RFID, Status: Failed

[2025-03-05 23:10:17] Worker ID: Some(1), Checkpoint ID: Some(1001), Method: RFID, Status: Failed

[2025-03-05 23:10:38] Worker ID: Some(1), Checkpoint ID: Some(1001), Method: RFID, Status: Failed

[2025-03-05 23:12:05] Worker ID: Some(1), Checkpoint ID: Some(1002), Method: RFID, Status: Failed

[2025-03-05 23:16:24] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:16:49] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:17:06] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:17:30] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

